trainingsize,time,k,accuracy
10,0,1,22.22222222222222
10,0,2,22.22222222222222
10,0,3,22.22222222222222
10,0,4,22.22222222222222
10,0,5,22.22222222222222
100,15,1,11.11111111111111
100,14,2,16.161616161616163
100,15,3,16.161616161616163
100,17,4,15.151515151515152
100,15,5,18.181818181818183
100,24,5,24.242424242424242
200,380,1,16.08040201005025
200,393,2,19.09547738693467
200,369,3,17.08542713567839
200,386,4,16.582914572864322
200,385,5,17.08542713567839
1000,54,1,32.732732732732735
1000,59,2,34.034034034034036
1000,59,3,33.933933933933936
1000,58,4,33.533533533533536
1000,63,5,33.933933933933936
5000,860,1,31.860690099967755
5000,1077,2,32.441148016768786
5000,1039,3,32.731376975169304
5000,986,4,32.892615285391805
5000,1039,5,33.15059658174782
10000,2345,1,32.7636246372138
10000,2360,2,32.828119961302804
10000,2281,3,33.37633021605934
10000,2424,4,33.21509190583682
10000,2343,5,33.247339567881326
12404,5108,1,32.63463398903579
12404,5960,2,32.83870967741935
12404,5078,3,33.09677419354839
12404,4634,4,33.25806451612903
12404,4825,5,33.45161290322581
